Year,NestID,Date,Time,PlotID,Latitude,Longitude,Observer,Visit,Stage,NestSeen,Eggs,Chicks,Adult1FlagCode,Adult1FlagColor,Adult2FlagCode,Adult2FlagColor,InitiationDate,NestCondition,Fox,EggFrags,EggBits,Membranes,MembranesShell,AdultBroody,BroodSeen,HowFailed,Comments|Egg1_Length|Egg1_Width|Egg1_Angle|Egg1_Surfaced|Egg1_mmAbove|Egg1_Mass(g)|Egg2_Length|Egg2_Width|Egg2_Angle|Egg2_Surfaced|Egg2_mmAbove|Egg2_Mass(g)|Egg3_Length|Egg3_Width|Egg3_Angle|Egg3_Surfaced|Egg3_mmAbove|Egg3_Mass(g)|Egg4_Length|Egg4_Width|Egg4_Angle|Egg4_Surfaced|Egg4_mmAbove|Egg4_Mass(g)|Est_Age(days)|Incubation_Date||%Lich_1|%Moss_1|%DST_1|%Forb_1|%Other_1|%Sedge_1|%Kinick_1|%Vacc_1|%Empet_1|%Heath_1|%BareRock_1|%LichRock_1|%BareSoil_1|%Lich_10|%Moss_10|%DST_10|%Forb_10|%Other_10|%Sedge_10|%Kinick_10|%Vacc_10|%Empet_10|%Heath_10|%BareRock_10|%LichRock_10|%BareSoil_10|Width|Depth|Conceal|Slope|Asp|Elev|Hatch_Date(est)|notes
2016,CWLW_001,6/27/2016,18:36,Tombstone,64.9375,-166.20416,CWW,Initial Discovery,incubation,Y,4,4,1HM,FEDG,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||located when flushed underfoot
2016,CWLW_001,6/29/2016,16:00,Tombstone,64.9375,-166.20416,SGB,2,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,CWLW_001,7/1/2016,12:00,Tombstone,64.9375,-166.20416,JVG,Fate Determined,unknown,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,JAJ_001,6/6/2016,,34 MI,64.81561,-165.9493,JAJ,Initial Discovery,laying,Y,1,0,6HH,FELG,,,6/5/2016,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,JAJ_001,6/14/2016,,34 MI,64.81561,-165.9493,JAJ,Fate Determined,failed,Y,0,0,,,,,,,,,,,,,,Predation,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,JAJ_002,6/6/2016,,34 MI,64.81271,-165.95006,JAJ,Initial Discovery,laying,Y,1,0,6HV,FELG,6VA,FELG,6/5/2016,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,JAJ_002,6/17/2016,,34 MI,64.81271,-165.95006,JVG,Fate Determined,abandoned,Y,3,0,,,,,,intact,,,,,,,,,"3 cold eggs, collected by JVG|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"
2016,JVG_001,6/7/2016,14:30,37 MI,64.8526,-166.09203,JVG,Initial Discovery,laying,Y,1,0,6JY,FELG,1EU,FEDG,6/6/2016,,,,,,,,,,|||||||||||||||||||||||||||Jan has this info||||||||||||||||||||||||||||||||||6XN assumbed to be associated w/nest but 6JY seen brooding nearby on 24th.
2016,JVG_001,6/9/2016,15:30,37 MI,64.8526,-166.09203,JAJ,2,incubation,Y,2,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,JVG_001,6/16/2016,20:00,37 MI,64.8526,-166.09203,JAJ,3,incubation,Y,3,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,JVG_001,6/23/2016,14:45,37 MI,64.8526,-166.09203,JVG,4,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,JVG_001,6/24/2016,20:15,37 MI,64.8526,-166.09203,LHD,5,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,JVG_001,6/26/2016,13:25,37 MI,64.8526,-166.09203,BJH,Fate Determined,hatch,Y,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,JVG_002,6/11/2016,12:33,34 MI,64.8253,-166.03957,JVG,Initial Discovery,incubation,Y,3,0,1HK,FEDG,1EP,FEDG,,,,,,,,,,,|38.7|30.3|85|N|||39|30.4|85|N|||||||||||||||||||||||||||||||||||||||||||||||||||
2016,JVG_002,6/14/2016,19:00,34 MI,64.8253,-166.03957,JVG,2,incubation,Y,3,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,JVG_002,6/23/2016,18:15,34 MI,64.8253,-166.03957,JVG,3,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,JVG_002,6/26/2016,20:30,34 MI,64.8253,-166.03957,JVG,4,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,JVG_002,6/27/2016,22:20,34 MI,64.8253,-166.03957,JVG,5,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,JVG_002,6/28/2016,13:00,34 MI,64.8253,-166.03957,JVG,6,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,JVG_002,6/29/2016,18:50,34 MI,64.8253,-166.03957,JVG,7,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,JVG_002,6/30/2016,10:00,34 MI,64.8253,-166.03957,JVG,8,unknown,Y,3,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,JVG_002,7/3/2016,20:30,34 MI,64.8253,-166.03957,JVG,9,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,JVG_002,7/5/2016,0:50,34 MI,64.8253,-166.03957,JVG,10,unknown,Y,3,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,JVG_002,7/5/2016,19:00,34 MI,64.8253,-166.03957,JVG,Fate Determined,abandoned,Y,3,0,,,,,,intact,,,,,,,,,cold and wet eggs|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,LCL_001,6/22/2016,14:40,34 MI,64.81454,-165.95137,LCW,Initial Discovery,incubation,Y,3,0,1HH,FEDG,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Radio on male 21 June
2016,LCL_001,6/23/2016,17:00,34 MI,64.81454,-165.95137,CWW,2,abandoned,Y,3,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,LCL_001,6/25/2016,17:00,34 MI,64.81454,-165.95137,CWW,3,abandoned,Y,3,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,LCL_001,6/26/2016,17:00,34 MI,64.81454,-165.95137,JVG,Fate Determined,abandoned,Y,3,0,,,,,,intact,,,,,,,,,3 eggs collected|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,NHSG_001,5/29/2016,23:00,34 MI,64.82399,-166.03362,NRH,Initial Discovery,laying,Y,1,0,1HC,FEDG,1HA,FEDG,5/28/2016,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,NHSG_001,6/6/2016,21:00,34 MI,64.82399,-166.03362,NRH,2,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,NHSG_001,6/19/2016,13:00,34 MI,64.82399,-166.03362,JAJ,3,incubation,Y,4,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,NHSG_001,6/20/2016,,34 MI,64.82399,-166.03362,,4,unknown,Y,4,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,NHSG_001,6/21/2016,13:40,34 MI,64.82399,-166.03362,BJH,5,incubation,Y,4,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,NHSG_001,6/23/2016,18:00,34 MI,64.82399,-166.03362,JVG,6,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,NHSG_001,6/25/2016,14:15,34 MI,64.82399,-166.03362,JVG,7,unknown,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,NHSG_001,6/25/2016,14:34,34 MI,64.82399,-166.03362,BJH,8,unknown,Y,1,3,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,NHSG_001,6/25/2016,21:50,34 MI,64.82399,-166.03362,JAJ,Fate Determined,hatch,,0,4,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,NRH_001,5/29/2016,18:49,34 MI,64.81905,-166.03487,NRH,Initial Discovery,incubation,Y,,,6UU,FELG,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,NRH_001,6/7/2016,20:30,34 MI,64.81905,-166.03487,NRH,2,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,NRH_001,6/13/2016,15:00,34 MI,64.81905,-166.03487,JAJ,3,incubation,Y,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,NRH_001,6/14/2016,,34 MI,64.81905,-166.03487,,Fate Determined,unknown,,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,NRH_002,6/3/2016,,34 MI,64.81501,-165.95634,NRH,Initial Discovery,laying,Y,,,1HJ,FEDG,1EN,FEDG,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,NRH_002,6/6/2016,,34 MI,64.81501,-165.95634,NRH,2,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,NRH_002,6/14/2016,13:55,34 MI,64.81501,-165.95634,JAJ,3,incubation,Y,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,NRH_002,6/20/2016,12:15,34 MI,64.81501,-165.95634,JVG,4,hatch,Y,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,NRH_002,6/20/2016,19:00,34 MI,64.81501,-165.95634,JVG,5,hatch,Y,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,NRH_002,6/21/2016,,34 MI,64.81501,-165.95634,JVG,Fate Determined,hatch,Y,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,NSJ_001,5/28/2016,18:53,37 MI,64.84563,-166.08302,JAG,Initial Discovery,laying,Y,,,1AU,FEDG,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,NSJ_001,6/6/2016,16:00,37 MI,64.84563,-166.08302,NRH,2,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,NSJ_001,6/8/2016,20:00,37 MI,64.84563,-166.08302,JAJ,3,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,NSJ_001,6/19/2016,12:00,37 MI,64.84563,-166.08302,JAJ,4,incubation,Y,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,NSJ_001,6/21/2016,,37 MI,64.84563,-166.08302,CWW,5,incubation,Y,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,NSJ_001,6/22/2016,,37 MI,64.84563,-166.08302,JVG,Fate Determined,abandoned,Y,,,,,,,,intact,,,,,,,,,4 cold eggs|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,SGB_001,6/5/2016,17:33,37 MI,64.85152,-166.09987,SGB,Initial Discovery,incubation,Y,,,1EV,FEDG,2LM,FEDG,,,,,,,,,,,|43.2|30.4|15|Y|5||46.2|30.5|5|Y|5||46.6|30|||||42.4|30.9|||||||70-85% complete on 14/6||||||||||||||||||||||||||||||||||
2016,SGB_001,6/14/2016,11:30,37 MI,64.85152,-166.09987,JAJ,2,incubation,Y,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,SGB_001,6/23/2016,14:00,37 MI,64.85152,-166.09987,JVG,3,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,SGB_001,6/24/2016,20:30,37 MI,64.85152,-166.09987,LHD,4,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,SGB_001,6/26/2016,14:00,37 MI,64.85152,-166.09987,BJH,5,hatch,Y,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,SGB_001,6/28/2016,12:15,37 MI,64.85152,-166.09987,LHD,Fate Determined,hatch,Y,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,SGB_002,6/16/2016,18:30,37 MI,64.84956,-166.08739,SGB,Initial Discovery,incubation,Y,,,1HN,FEDG,1ET,FEDG,,,,,,,,,,,|||||||||||||||||||||||||||an has this info||||||||||||||||||||||||||||||||||
2016,SGB_002,6/23/2016,15:15,37 MI,64.84956,-166.08739,JVG,2,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,SGB_002,6/24/2016,17:10,37 MI,64.84956,-166.08739,LHD,3,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,SGB_002,6/26/2016,13:00,37 MI,64.84956,-166.08739,CWW,4,incubation,Y,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,SGB_002,6/27/2016,20:30,37 MI,64.84956,-166.08739,JVG,5,incubation,Y,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,SGB_002,6/29/2016,13:15,37 MI,64.84956,-166.08739,JVG,6,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,SGB_002,7/2/2016,19:00,37 MI,64.84956,-166.08739,SGB,7,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,SGB_002,7/3/2016,18:00,37 MI,64.84956,-166.08739,BJH,Fate Determined,hatch,Y,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
